attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,epss_score,exploit_maturity,days_since_published,severity
network,low,none,required,unchanged,high,high,none,0.1795,unproven,117,high
local,high,low,none,unchanged,high,none,high,0.229,poc,343,medium
local,low,none,required,unchanged,high,low,none,0.0699,unproven,75,medium
network,low,low,required,unchanged,none,none,none,0.2308,unproven,161,low
local,high,low,required,unchanged,none,low,high,0.0553,high,506,medium
network,low,low,required,unchanged,low,high,low,0.2419,unproven,183,medium
adjacent,low,none,none,unchanged,low,high,high,0.183,unproven,147,high
local,high,none,none,unchanged,high,high,high,0.0418,unproven,104,high
local,low,low,none,unchanged,low,low,high,0.2312,poc,554,medium
network,low,low,required,unchanged,low,low,high,0.1408,unproven,144,high
network,high,none,required,unchanged,high,none,none,0.0611,poc,220,medium
local,high,low,none,changed,none,low,high,0.1697,poc,24,medium
local,low,none,none,unchanged,high,high,high,0.0406,poc,64,high
network,low,none,required,unchanged,none,low,high,0.0233,unproven,108,medium
local,low,high,none,unchanged,none,high,none,0.1382,high,243,medium
network,low,none,none,unchanged,low,low,high,0.1401,functional,278,critical
adjacent,low,low,none,unchanged,none,high,none,0.185,unproven,133,medium
local,high,none,required,unchanged,high,low,none,0.0875,high,148,medium
local,high,none,none,unchanged,low,low,low,0.3114,poc,127,medium
network,low,high,none,unchanged,low,none,high,0.145,poc,358,medium
network,high,none,none,unchanged,high,low,high,0.1106,high,169,high
network,low,none,none,changed,low,low,none,0.088,poc,240,high
network,low,low,none,unchanged,high,high,none,0.1332,unproven,163,high
network,low,none,required,unchanged,none,none,high,0.015,unproven,182,medium
physical,high,high,none,unchanged,none,high,none,0.0289,unproven,297,low
network,low,low,none,unchanged,low,none,high,0.1103,poc,206,medium
network,low,high,none,unchanged,none,low,high,0.0848,functional,333,medium
local,low,high,none,unchanged,none,low,high,0.3045,unproven,344,medium
network,high,none,none,changed,high,high,none,0.0909,unproven,79,high
network,low,none,none,changed,high,none,low,0.3324,unproven,274,critical
network,low,high,required,unchanged,high,high,low,0.1852,unproven,250,medium
network,low,low,none,unchanged,low,none,low,0.0746,poc,60,medium
network,low,none,none,unchanged,low,none,low,0.0736,unproven,284,medium
local,low,low,required,changed,none,high,low,0.0219,functional,201,medium
local,high,low,none,unchanged,none,none,low,0.1746,functional,178,low
physical,low,none,none,changed,none,high,high,0.0837,poc,84,high
adjacent,low,high,required,unchanged,none,low,high,0.0172,unproven,106,medium
adjacent,low,high,none,unchanged,high,none,high,0.1122,poc,39,medium
network,low,high,required,changed,low,low,low,0.188,functional,265,medium
network,high,high,none,unchanged,none,none,none,0.114,unproven,213,low
adjacent,low,low,none,unchanged,none,high,low,0.065,poc,124,medium
local,low,low,none,changed,low,none,low,0.0604,unproven,378,medium
network,low,low,required,unchanged,none,none,high,0.2101,poc,33,medium
network,low,high,none,unchanged,none,none,high,0.149,functional,159,medium
network,high,low,none,unchanged,high,none,low,0.0551,poc,47,medium
network,low,low,required,changed,none,low,low,0.0516,unproven,219,medium
adjacent,low,low,none,unchanged,none,none,none,0.1544,unproven,96,low
network,low,none,none,unchanged,high,high,high,0.2965,unproven,208,critical
network,low,none,required,unchanged,none,none,low,0.0544,unproven,216,low
local,low,high,required,unchanged,low,low,none,0.0666,poc,104,low
local,low,low,none,unchanged,low,low,high,0.1146,functional,362,medium
local,low,low,required,changed,high,high,high,0.2546,high,173,high
local,low,none,none,unchanged,high,low,high,0.0189,unproven,286,high
network,high,none,none,unchanged,none,high,none,0.0134,poc,284,medium
network,low,none,required,unchanged,high,low,none,0.0286,poc,139,high
network,low,high,none,unchanged,high,low,low,0.0551,unproven,231,medium
local,high,low,none,unchanged,low,high,high,0.4533,unproven,97,medium
network,high,low,none,unchanged,low,low,low,0.0805,poc,649,medium
adjacent,low,low,required,unchanged,high,low,high,0.0109,unproven,201,high
local,low,none,none,changed,low,high,high,0.0374,poc,141,critical
network,low,high,required,changed,high,low,high,0.0537,functional,117,high
adjacent,low,high,none,unchanged,low,low,high,0.0905,unproven,243,medium
network,high,low,none,changed,low,low,high,0.0257,unproven,353,high
network,low,high,none,unchanged,high,high,high,0.0696,unproven,47,medium
physical,low,low,none,unchanged,high,low,low,0.0586,poc,248,medium
network,low,low,required,unchanged,high,high,none,0.1544,poc,96,medium
local,low,none,none,unchanged,none,high,high,0.1229,unproven,38,high
network,low,none,none,unchanged,low,low,none,0.1396,functional,60,medium
network,low,none,none,changed,low,low,high,0.1634,unproven,426,critical
network,low,none,required,unchanged,high,low,high,0.0938,unproven,154,high
network,high,none,none,changed,low,none,none,0.3504,unproven,597,medium
local,high,none,none,changed,high,low,low,0.1612,poc,148,high
network,low,low,required,changed,none,high,high,0.0573,functional,129,high
network,low,none,none,unchanged,none,high,high,0.0666,poc,41,critical
network,low,none,none,unchanged,high,low,low,0.0568,unproven,71,high
local,high,high,none,unchanged,low,none,low,0.0227,poc,29,low
network,low,low,none,unchanged,none,low,low,0.0941,high,327,medium
physical,low,low,none,unchanged,high,none,low,0.2101,unproven,345,medium
network,low,none,required,unchanged,high,low,high,0.0594,unproven,91,critical
network,high,low,required,unchanged,none,none,high,0.0177,functional,100,medium
network,low,none,required,changed,high,low,high,0.0677,poc,153,critical
local,low,none,none,unchanged,none,low,low,0.1078,unproven,442,medium
network,low,none,none,unchanged,low,high,none,0.1185,functional,21,high
adjacent,low,high,none,unchanged,low,high,none,0.1215,poc,411,medium
local,low,high,required,changed,high,low,high,0.0742,unproven,521,high
network,low,high,required,unchanged,low,low,high,0.0945,unproven,371,medium
local,low,low,none,changed,high,low,none,0.0085,unproven,541,high
network,low,low,none,unchanged,none,low,none,0.1258,functional,267,medium
network,low,high,none,changed,low,low,none,0.2094,unproven,300,medium
local,low,none,none,changed,none,high,high,0.0037,functional,327,high
adjacent,low,low,required,unchanged,high,low,none,0.083,poc,575,medium
network,low,high,none,changed,none,none,none,0.0365,unproven,31,low
network,low,low,none,changed,high,none,high,0.0694,poc,153,high
adjacent,low,none,none,unchanged,low,high,none,0.0657,unproven,202,medium
network,high,low,none,unchanged,none,high,none,0.2388,unproven,256,medium
network,high,low,none,unchanged,none,low,none,0.0691,poc,150,low
adjacent,low,low,none,changed,low,low,high,0.0381,poc,359,high
adjacent,low,none,none,changed,none,high,low,0.0174,unproven,259,high
network,high,none,none,changed,high,high,none,0.1653,functional,245,high
local,low,high,none,unchanged,low,high,high,0.014,poc,273,medium
adjacent,low,high,required,changed,low,high,low,0.071,unproven,261,medium
network,high,none,none,unchanged,high,low,low,0.0071,unproven,24,high
local,low,high,none,unchanged,none,none,high,0.0451,unproven,70,medium
network,low,low,none,changed,low,low,none,0.0863,functional,21,medium
network,low,none,none,unchanged,high,high,high,0.223,poc,189,critical
local,low,none,none,unchanged,high,high,high,0.3692,unproven,59,high
network,low,low,required,unchanged,high,high,high,0.0998,poc,190,high
adjacent,low,high,required,unchanged,high,low,low,0.0694,functional,356,medium
network,low,none,none,unchanged,low,low,high,0.2785,high,624,high
network,low,low,required,unchanged,low,none,none,0.0549,unproven,262,low
network,low,high,required,unchanged,high,none,low,0.099,unproven,130,medium
physical,high,none,required,unchanged,low,none,none,0.3729,poc,347,low
adjacent,low,low,none,unchanged,low,high,high,0.2342,unproven,444,high
network,low,none,none,unchanged,none,low,high,0.1335,unproven,504,high
local,low,low,required,unchanged,none,high,low,0.0614,functional,820,medium
local,low,none,none,unchanged,high,low,low,0.2212,unproven,197,high
local,low,none,none,changed,low,none,low,0.0103,unproven,85,medium
network,low,low,required,unchanged,high,none,high,0.0791,high,195,high
local,low,none,required,unchanged,low,none,low,0.1201,unproven,424,medium
network,low,high,none,unchanged,low,none,low,0.3351,unproven,274,low
network,low,high,required,unchanged,high,none,high,0.1095,poc,123,medium
physical,low,low,none,unchanged,high,low,low,0.134,unproven,269,medium
network,low,low,none,unchanged,high,low,low,0.1046,poc,78,high
local,low,none,required,unchanged,low,high,low,0.1591,functional,115,medium
network,low,low,required,unchanged,high,none,high,0.0841,poc,170,high
adjacent,low,none,none,changed,high,none,none,0.0554,unproven,498,medium
network,low,none,required,changed,low,high,none,0.141,high,114,high
local,low,high,none,unchanged,low,none,high,0.1322,poc,163,medium
adjacent,low,none,required,unchanged,high,none,high,0.0466,unproven,81,medium
network,low,none,none,unchanged,none,none,none,0.0889,unproven,981,low
network,high,none,required,unchanged,low,low,none,0.0074,unproven,81,medium
local,high,none,required,unchanged,high,high,high,0.0344,unproven,729,high
adjacent,low,none,none,unchanged,high,none,high,0.2277,poc,445,high
network,low,low,none,unchanged,high,high,low,0.3639,high,60,high
local,low,low,none,unchanged,high,none,high,0.0719,unproven,56,medium
local,high,none,none,unchanged,low,high,none,0.0175,poc,208,medium
network,low,low,none,changed,high,high,low,0.0588,functional,241,critical
local,low,low,required,changed,high,high,high,0.1934,functional,55,high
network,low,low,none,unchanged,high,low,high,0.0949,poc,371,critical
network,high,none,required,unchanged,none,none,low,0.2912,functional,234,low
network,low,low,none,unchanged,low,none,high,0.021,poc,340,high
network,low,none,none,unchanged,high,none,none,0.0337,functional,177,high
local,high,none,none,unchanged,low,none,none,0.0989,unproven,280,low
network,low,low,none,changed,none,low,none,0.3014,poc,243,medium
network,low,none,none,unchanged,high,high,none,0.0491,unproven,372,high
network,low,high,none,unchanged,low,high,low,0.3238,functional,116,medium
adjacent,low,low,none,unchanged,none,high,low,0.0255,unproven,476,medium
network,low,none,required,unchanged,low,high,low,0.1776,poc,368,high
network,low,low,required,changed,high,low,none,0.3609,functional,273,high
network,high,none,required,unchanged,high,none,none,0.0624,high,66,medium
network,low,none,none,changed,none,low,high,0.054,unproven,215,critical
adjacent,low,low,none,unchanged,high,none,high,0.017,poc,175,high
physical,low,none,none,unchanged,low,none,high,0.0983,functional,201,medium
network,low,low,none,unchanged,low,low,low,0.1592,functional,101,medium
network,low,none,required,changed,none,none,high,0.1119,high,109,high
network,high,high,none,unchanged,low,low,none,0.1309,unproven,487,low
local,high,none,required,unchanged,none,none,high,0.3798,functional,44,medium
network,high,low,none,unchanged,none,none,low,0.0553,functional,671,low
network,low,none,required,unchanged,none,low,high,0.0648,high,35,medium
local,low,low,none,unchanged,low,low,low,0.019,unproven,299,medium
network,low,none,required,unchanged,none,low,low,0.094,functional,132,medium
network,low,high,none,unchanged,high,none,high,0.0435,poc,291,medium
adjacent,low,none,none,unchanged,low,none,high,0.1204,poc,150,medium
adjacent,low,low,none,unchanged,high,none,low,0.0095,high,470,medium
network,low,none,none,changed,low,high,low,0.1176,unproven,128,critical
physical,low,low,required,unchanged,high,high,low,0.1505,functional,248,medium
adjacent,high,high,none,unchanged,none,high,low,0.1654,functional,97,medium
network,low,none,none,unchanged,none,low,low,0.3247,unproven,146,medium
adjacent,high,low,required,unchanged,none,none,high,0.2212,unproven,204,medium
network,high,none,required,changed,high,none,high,0.0587,unproven,112,high
network,low,low,required,unchanged,low,none,high,0.054,unproven,159,medium
adjacent,high,high,required,unchanged,low,none,high,0.1026,unproven,284,medium
network,high,none,none,unchanged,low,low,none,0.0807,poc,199,medium
network,high,low,required,unchanged,low,none,none,0.1505,unproven,208,low
network,high,low,required,unchanged,low,none,none,0.0667,unproven,507,low
local,low,low,required,unchanged,high,low,low,0.0948,high,224,medium
local,low,none,none,unchanged,none,none,high,0.0105,poc,426,medium
adjacent,low,none,required,changed,high,none,none,0.0585,poc,170,medium
network,low,none,required,unchanged,none,high,high,0.1837,functional,365,high
network,high,low,required,unchanged,none,none,none,0.2735,poc,63,low
local,low,none,none,changed,low,low,low,0.0695,unproven,160,high
network,low,high,none,changed,none,high,low,0.0062,functional,86,medium
local,low,high,none,unchanged,high,none,none,0.1387,functional,331,medium
adjacent,low,none,required,changed,high,high,high,0.0325,unproven,275,high
physical,low,high,required,unchanged,low,none,none,0.0713,poc,50,low
network,low,none,none,unchanged,high,high,low,0.0177,unproven,163,critical
network,low,none,required,changed,none,high,none,0.0092,unproven,298,high
network,low,none,none,unchanged,none,none,low,0.3627,high,158,medium
local,low,high,none,unchanged,high,none,high,0.0876,poc,1030,medium
network,low,none,none,changed,high,low,low,0.0415,functional,93,critical
network,low,high,none,unchanged,low,high,low,0.0282,poc,142,medium
local,low,none,required,changed,high,high,none,0.0132,poc,199,high
local,low,none,none,unchanged,none,high,high,0.169,high,237,high
adjacent,low,low,none,unchanged,high,high,none,0.2198,poc,111,high
network,high,none,none,changed,low,high,none,0.0008,unproven,672,high
network,low,low,required,changed,low,low,low,0.0644,high,161,medium
